Time,Intel1T,Intel1H
00:00:00,20.54,82.33
00:30:00,20.46,82.67
01:00:00,20.4,83.44
01:30:00,20.32,83.15
02:00:00,20.27,85.13
02:30:00,20.23,85.6
03:00:00,20.06,85.66
03:30:00,19.85,86.76
04:00:00,19.73,87.3
04:30:00,19.759999999999998,87.795
05:00:00,19.741904761904767,87.86428571428571
05:30:00,19.677999999999997,88.44300000000001
06:00:00,19.6055,88.58999999999999
06:30:00,19.59,88.76
07:00:00,19.57,89.06
07:30:00,19.61,89.69
08:00:00,19.63,89.61
08:30:00,19.71,88.34
09:00:00,20.05,88.16
09:30:00,20.68,86.44250000000001
10:00:00,21.645000000000003,84.4625
10:30:00,21.805,82.7225
11:00:00,21.85,82.68
11:30:00,22.11,81.55
12:00:00,22.29,81.15
12:30:00,22.54,79.46
13:00:00,22.61,78.0
13:30:00,22.56,77.68
14:00:00,22.73,78.25
14:30:00,22.82,77.38
15:00:00,22.72,75.88
15:30:00,22.56,76.23
16:00:00,22.18,77.97
16:30:00,22.07,79.03
17:00:00,21.88,80.59
17:30:00,21.72,81.91
18:00:00,21.37,81.58
18:30:00,21.16,81.38
19:00:00,20.94,80.94
19:30:00,20.75,80.69
20:00:00,20.63,81.87
20:30:00,20.47,81.97
21:00:00,20.4,82.14
