Time,Intel1T,Intel2T,Intel1H,Intel2H
00:00:00,19.725,19.59090909090909,81.208,81.07454545454547
00:30:00,19.332333333333334,19.3635,80.97800000000001,80.686
01:00:00,18.957666666666668,19.1,81.61566666666667,80.77
01:30:00,18.62733333333334,18.74,82.11100000000002,81.48
02:00:00,18.470000000000002,18.5,82.54099999999998,81.8
02:30:00,18.448666666666668,18.49,82.47199999999997,82.14
03:00:00,18.366333333333337,18.402727272727272,82.85133333333334,82.28090909090909
03:30:00,18.220689655172414,18.281,83.1296551724138,82.02600000000001
04:00:00,18.029333333333334,18.13,83.278,81.94
04:30:00,17.839999999999996,17.94,83.46166666666667,82.09
05:00:00,17.46,17.66,83.248,81.64
05:30:00,17.049333333333333,17.36,82.88300000000001,81.51
06:00:00,16.952068965517242,16.99,83.29344827586208,81.72
06:30:00,17.166666666666668,17.1,83.91933333333336,82.07
07:00:00,17.61266666666667,17.48,83.66266666666665,82.53
07:30:00,18.402758620689653,18.2875,81.91620689655173,82.33500000000001
08:00:00,19.156999999999996,18.988333333333333,80.71599999999998,81.51166666666666
08:30:00,19.251,19.200000000000003,80.05700000000002,80.1675
09:00:00,19.53933333333333,19.26,81.12333333333335,79.8
09:30:00,20.743666666666666,21.19833333333333,80.48100000000001,80.22166666666668
10:00:00,22.454,22.158000000000005,79.056,78.8264
10:30:00,23.23366666666667,22.788181818181815,78.37866666666667,77.12181818181817
11:00:00,23.892333333333333,23.87,76.901,75.87333333333333
11:30:00,24.639999999999997,24.84142857142857,76.36233333333331,75.74571428571429
12:00:00,26.275666666666673,26.057999999999993,75.53233333333333,75.02000000000001
12:30:00,26.627931034482767,26.44916666666667,74.74206896551723,74.0825
13:00:00,27.744666666666664,27.521111111111107,73.14966666666665,73.87555555555556
13:30:00,27.82566666666666,27.825,72.84933333333333,73.875
14:00:00,26.327,25.94666666666667,74.88033333333333,74.21666666666667
14:30:00,26.26833333333333,26.147826086956524,76.27166666666668,75.38043478260869
15:00:00,25.327333333333335,24.954117647058823,75.17066666666668,73.76176470588236
15:30:00,23.870999999999995,23.906000000000002,77.55033333333334,75.4444
16:00:00,22.774,22.610666666666667,78.29533333333333,76.28866666666664
16:30:00,22.290999999999997,22.228999999999996,78.63933333333333,78.358
17:00:00,21.918666666666663,22.04,78.90199999999997,78.8
17:30:00,21.415999999999997,21.71,79.687,78.81
18:00:00,20.535666666666668,20.363333333333333,81.27833333333335,79.86166666666666
18:30:00,19.93733333333334,19.900909090909092,81.23299999999999,80.44454545454546
19:00:00,19.699,19.67,81.48666666666668,80.63
19:30:00,19.484333333333336,19.49,81.19833333333334,80.75
20:00:00,19.16633333333333,19.25,80.74366666666667,80.86
20:30:00,18.886333333333326,19.02,81.51866666666666,80.95
21:00:00,18.73066666666666,18.79,82.09333333333333,81.52
21:30:00,18.577,18.63,82.49766666666667,81.87
22:00:00,18.398214285714285,18.5,82.78107142857141,81.98
22:30:00,18.221333333333337,18.28,83.07233333333332,82.04
23:00:00,18.089655172413792,18.107,83.33862068965517,82.25699999999999
23:30:00,18.03633333333334,18.038,83.26000000000002,82.21600000000001
